Data :: 
 [2.26602700e+02 1.32726721e+01]
 [2.26655690e+02 1.22563003e+01]
 [2.26708670e+02 1.52403729e+01]
 [2.26761660e+02 1.12248885e+01]
 [2.26814630e+02 2.32098602e+01]
 [2.26867610e+02 2.21952839e+01]
 [2.26920580e+02 2.11811696e+01]
 [2.26973540e+02 1.61675217e+01]
 [2.27026500e+02 1.41543420e+01]
 [2.27079460e+02 5.14163512e+00]
 [2.27132410e+02 7.12940792e+00]
 [2.27185360e+02 8.11766260e+00]
 [2.27238300e+02 1.11064059e+01]
 [2.27291240e+02 2.09564018e+00]
 [2.27344170e+02 5.08537206e+00]
 [2.27397100e+02 1.10756041e+01]
 [2.27450030e+02 6.06634114e+00]
 [2.27502950e+02 5.05758941e+00]
 [2.27555860e+02 9.04935340e+00]
 [2.27608780e+02 1.10416348e+01]
 [2.27661680e+02 7.03444252e+00]
 [2.27714590e+02 1.02777724e+00]
 [2.27767490e+02 7.02164627e+00]
 [2.27820380e+02 5.01605413e+00]
 [2.27873270e+02 7.01100447e+00]
 [2.27926160e+02 9.00650216e+00]
 [2.27979040e+02 1.50025528e+01]
 [2.28031910e+02 6.99916093e+00]
 [2.28084790e+02 3.99633023e+00]
 [2.28137650e+02 9.94067074e-01]
 [2.28190520e+02 9.99237497e+00]
 [2.28243380e+02 4.99125953e+00]
 [2.28296230e+02 7.99072542e+00]
 [2.28349080e+02 4.99077736e+00]
 [2.28401920e+02 6.99142022e+00]
 [2.28454770e+02 8.99265926e+00]
 [2.28507600e+02 6.99449868e+00]
 [2.28560430e+02 7.99694390e+00]
 [2.28613260e+02 0.00000000e+00]
 [2.28666090e+02 4.00367210e+00]
 [2.28718910e+02 3.00796445e+00]
 [2.28771720e+02 2.01288183e+00]
 [2.28824530e+02 3.01843016e+00]
 [2.28877340e+02 3.02461461e+00]
 [2.28930140e+02 9.03143902e+00]
 [2.28982930e+02 1.03890822e+00]
 [2.29035730e+02 4.70302749e-02]
 [2.29088510e+02 9.05580562e+00]
 [2.29141300e+02 1.06524432e+00]
 [2.29194080e+02 6.07534806e+00]
 [2.29246850e+02 5.08612176e+00]
 [2.29299620e+02 9.09757258e+00]
 [2.29352390e+02 7.10970584e+00]
 [2.29405150e+02 1.01225244e+01]
